ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tasiilaq,75,GL,1585931806,53,65.61,-37.64,24.8,17.22
1,honningsvag,95,NO,1585931879,79,70.98,25.97,21.2,12.75
2,hobart,90,AU,1585931879,77,-42.88,147.33,59.0,5.82
3,half moon bay,1,US,1585931879,62,37.46,-122.43,54.0,17.22
4,levanger,75,NO,1585931880,89,63.75,11.3,32.0,25.28
5,thompson,90,CA,1585931880,92,55.74,-97.86,26.6,5.82
6,ilebo,98,CD,1585931880,83,-4.32,20.58,70.65,3.71
7,faya,21,SA,1585931881,60,18.39,42.45,71.6,6.93
8,mataura,99,NZ,1585931881,96,-46.19,168.86,46.99,2.3
9,codrington,98,AU,1585931881,78,-38.27,141.97,56.05,20.96
10,guerrero negro,100,MX,1585931882,61,27.98,-114.06,64.22,15.79
11,nikolskoye,90,RU,1585931882,84,59.7,30.79,37.4,15.66
12,walvis bay,0,NA,1585931882,72,-22.96,14.51,68.0,9.17
13,otane,46,NZ,1585931882,94,-39.88,176.63,52.0,2.17
14,ribeira grande,75,PT,1585931883,87,38.52,-28.7,60.8,26.4
15,brodick,75,GB,1585931883,81,55.58,-5.15,48.2,12.75
16,gumdag,22,TM,1585931883,52,39.21,54.59,60.76,3.22
17,ushuaia,40,AR,1585931587,75,-54.8,-68.3,46.4,6.93
18,cristalina,24,BR,1585931883,46,-16.77,-47.61,79.05,8.9
19,lasa,5,IT,1585931883,36,46.62,10.7,64.4,9.17
20,spirit river,20,CA,1585931884,76,55.78,-118.84,1.99,1.36
21,qaanaaq,47,GL,1585931884,81,77.48,-69.36,8.2,10.56
22,sotouboua,57,TG,1585931884,32,8.57,0.98,93.76,3.44
23,chuy,8,UY,1585931884,57,-33.7,-53.46,69.87,14.0
24,ovsyanka,40,RU,1585931885,81,55.96,92.55,44.6,11.18
25,busselton,44,AU,1585931885,39,-33.65,115.33,55.99,11.99
26,sisimiut,84,GL,1585931822,90,66.94,-53.67,12.47,13.85
27,atuona,57,PF,1585931885,80,-9.8,-139.03,81.86,19.08
28,tecoanapa,0,MX,1585931886,45,16.52,-98.75,87.53,10.45
29,krasnoselkup,12,RU,1585931886,95,65.7,82.47,15.24,10.49
30,bluff,96,NZ,1585931886,96,-46.6,168.33,46.99,2.55
31,port lincoln,53,AU,1585931886,64,-34.73,135.87,57.69,23.15
32,hilo,1,US,1585931883,68,19.73,-155.09,66.2,4.7
33,zhanakorgan,70,KZ,1585931887,29,43.91,67.25,65.7,6.78
34,saskylakh,100,RU,1585931887,97,71.92,114.08,26.24,19.17
35,okhotsk,81,RU,1585931887,88,59.38,143.3,14.29,9.53
36,hithadhoo,11,MV,1585931887,76,-0.6,73.08,83.75,9.35
37,nchelenge,99,ZM,1585931888,56,-9.35,28.73,71.1,4.41
38,nabire,98,ID,1585931888,88,-3.37,135.48,76.32,2.95
39,port alfred,10,ZA,1585931888,75,-33.59,26.89,73.53,14.94
40,grindavik,90,IS,1585931888,50,63.84,-22.43,30.2,20.8
41,praya,36,CV,1585931889,31,14.92,-23.51,89.6,13.87
42,albany,90,US,1585931702,87,42.6,-73.97,48.0,8.05
43,outjo,65,NA,1585931889,53,-20.12,16.15,75.2,2.24
44,pevek,100,RU,1585931889,94,69.7,170.31,1.56,10.4
45,new norfolk,90,AU,1585931890,77,-42.78,147.06,59.0,5.82
46,dikson,100,RU,1585931890,94,73.51,80.55,7.23,22.44
47,tuktoyaktuk,20,CA,1585931890,63,69.45,-133.04,-5.8,14.99
48,cape town,54,ZA,1585931818,60,-33.93,18.42,75.0,9.17
49,vasilsursk,71,RU,1585931891,69,56.13,46.01,39.18,9.62
50,piet retief,93,ZA,1585931891,62,-27.01,30.81,57.25,3.06
51,kodiak,1,US,1585931891,55,57.79,-152.41,33.8,13.87
52,trincomalee,0,LK,1585931891,79,8.57,81.23,79.09,6.82
53,vanimo,100,PG,1585931892,86,-2.67,141.3,78.71,11.36
54,moranbah,0,AU,1585931892,82,-22.0,148.05,69.17,4.03
55,talnakh,40,RU,1585931892,85,69.49,88.4,10.4,33.55
